OBJECTID,DAUID,CSDUID,CSDNAME,TOT_MOBILITY_STATUS_1YR_AGO,MS1_NON_MOVERS,MS1_MOVERS,MS1_NONMIGRANTS,MS1_MIGRANTS,MS1_INTERNAL_MIGRANTS,MS1_INTERNAL_INTRAPROV_MIGRANT,MS1_INTERNAL_INTERPROV_MIGRANT,MS1_EXTERNAL_MIGRANT,TOT_MOBILITY_STATUS_5YR_AGO,MS5_NON_MOVERS,MS5_MOVERS,MS5_NONMIGRANTS,MS5_MIGRANTS,MS5_INTERNAL_MIGRANTS,MS5_INTERNAL_INTRAPROV_MIGRANT,MS5_INTERNAL_INTERPROV_MIGRANT,MS5_EXTERNAL_MIGRANT,Shape__Area,Shape__Length
1141,35191166,3519036,Markham,345,320,25,15,10,10,10,0,0,320,255,65,15,50,50,50,0,0,28006779.3034668,24197.3109800787
1142,35191280,3519036,Markham,6815,6015,805,535,265,180,170,15,90,6380,3085,3290,2070,1215,940,890,45,280,2062155.3203125,6322.2189395008
1143,35190121,3519048,Newmarket,1005,920,85,55,35,20,15,10,10,980,665,310,60,255,235,210,25,15,688479.649902344,3468.59244025317
1144,35190120,3519048,Newmarket,360,345,15,10,10,10,10,0,0,355,325,30,10,30,30,25,0,0,190368.277099609,2553.49153276142
1145,35190100,3519049,King,375,330,45,10,35,30,35,0,10,370,260,110,30,75,75,75,0,10,20556179.5280762,26940.6892386391
1146,35190119,3519048,Newmarket,690,670,20,0,20,15,0,15,10,675,535,140,65,75,55,50,0,20,236300.775390625,2566.51549845125
1147,35190874,3519046,Aurora,445,375,70,15,55,60,45,0,0,425,305,115,40,80,75,45,30,0,192975.290039063,1915.67109267594
1148,35190138,3519046,Aurora,475,440,35,15,15,20,20,0,0,465,320,140,65,80,65,55,10,15,1183992.9621582,5848.62119559672
1149,35190066,3519054,East Gwillimbury,420,410,10,0,0,0,10,0,0,410,325,80,10,75,75,75,0,0,16817458.4936523,20567.4047851781
1150,35190447,3519038,Richmond Hill,465,450,15,0,20,10,10,0,0,445,390,55,20,40,25,25,0,10,90077.1025390625,1503.18082632935
1151,35191301,3519048,Newmarket,560,495,65,0,65,65,65,0,0,540,355,180,30,155,135,85,50,15,167845.522460938,2155.54719407606
1152,35191285,3519044,Whitchurch-Stouffville,535,520,20,10,10,10,0,0,0,525,395,130,80,50,45,50,0,0,1305826.11645508,5396.54739318351
1153,35190596,3519036,Markham,545,540,0,0,0,0,0,0,0,535,430,100,55,50,15,20,0,25,171026.902099609,2579.93749475146
1154,35190786,3519049,King,435,375,60,50,10,15,15,0,0,405,265,140,10,135,130,135,0,0,345867.328125,3198.17356934336
1155,35190844,3519028,Vaughan,250,235,15,10,0,0,0,0,10,245,200,40,0,40,30,35,0,10,703811.55078125,3631.15629306467
1156,35190737,3519036,Markham,270,225,45,35,10,0,10,0,10,250,175,70,25,50,0,0,0,45,36693.8764648438,843.006715508745
1157,35190735,3519036,Markham,760,670,90,50,40,35,30,0,10,735,485,245,165,90,75,70,0,15,483341.526611328,2870.48431765383
1158,35190097,3519054,East Gwillimbury,550,540,10,0,10,0,0,0,0,530,405,130,45,90,90,90,0,0,364586.119140625,3274.44232245161
1159,35190096,3519054,East Gwillimbury,340,320,20,0,20,20,20,0,0,335,250,85,55,30,30,30,0,0,271959.374023438,2264.62024646274
1160,35191181,3519036,Markham,700,655,45,15,30,15,15,0,15,685,515,165,70,100,65,70,0,30,83992.4165039063,1185.69226221455
1161,35190739,3519036,Markham,780,640,140,105,40,35,30,0,10,765,580,185,130,60,25,25,0,35,237611.913085938,2955.53002156039
1162,35190118,3519048,Newmarket,600,595,10,0,0,0,0,0,10,570,385,180,25,155,155,155,0,0,114940.533691406,1601.65602103504
1163,35191287,3519028,Vaughan,5460,5035,425,190,235,225,205,20,10,5175,3800,1370,680,695,540,490,50,155,26760717.8022461,23138.1210848066
1164,35191193,3519036,Markham,960,870,90,75,10,0,0,0,10,935,770,165,85,80,20,20,0,65,353647.6328125,3077.32435035686
1165,35191353,3519036,Markham,120,115,0,0,0,0,0,0,10,110,80,30,25,0,0,0,0,0,4930518.59423828,8973.63989466174
1166,35191364,3519038,Richmond Hill,2970,2590,380,240,140,95,80,15,45,2755,1630,1130,485,645,360,325,35,280,959137.512451172,4477.32661014221
