OBJECTID,DAUID,CSDUID,CSDNAME,TOT_MOBILITY_STATUS_1YR_AGO,MS1_NON_MOVERS,MS1_MOVERS,MS1_NONMIGRANTS,MS1_MIGRANTS,MS1_INTERNAL_MIGRANTS,MS1_INTERNAL_INTRAPROV_MIGRANT,MS1_INTERNAL_INTERPROV_MIGRANT,MS1_EXTERNAL_MIGRANT,TOT_MOBILITY_STATUS_5YR_AGO,MS5_NON_MOVERS,MS5_MOVERS,MS5_NONMIGRANTS,MS5_MIGRANTS,MS5_INTERNAL_MIGRANTS,MS5_INTERNAL_INTRAPROV_MIGRANT,MS5_INTERNAL_INTERPROV_MIGRANT,MS5_EXTERNAL_MIGRANT,Shape__Area,Shape__Length
94,35190199,3519028,Vaughan,410,395,15,0,15,15,15,0,0,400,375,30,20,10,10,15,0,0,76826.1726074219,1323.84398176313
95,35191015,3519028,Vaughan,2015,1930,85,40,50,20,0,20,25,1960,1595,370,190,180,115,115,0,60,1091499.31958008,7091.31663271862
96,35190359,3519028,Vaughan,385,360,20,10,15,10,15,0,10,375,280,95,35,60,45,50,0,10,42783.7873535156,882.416791003708
97,35190357,3519028,Vaughan,440,415,20,15,10,10,10,0,0,435,370,65,55,10,0,10,0,0,120328.294433594,2243.25248119459
98,35190317,3519036,Markham,430,370,55,25,25,10,10,10,15,410,265,150,75,75,35,30,10,40,247907.3984375,2430.9851183872
99,35190591,3519036,Markham,765,665,100,55,40,35,30,0,10,760,420,340,170,165,85,85,0,80,231967.547363281,2281.39187612694
100,35191058,3519028,Vaughan,495,395,100,30,70,60,60,0,0,485,375,110,35,80,70,70,0,10,323973.041259766,2676.95257755056
101,35190370,3519028,Vaughan,350,320,25,0,25,15,10,0,15,315,200,120,0,115,65,65,0,50,198154.191894531,2674.49361568947
102,35191044,3519028,Vaughan,1610,1390,225,185,40,15,15,0,20,1575,1050,525,275,250,125,105,20,125,149462.789550781,3002.98775456106
103,35190327,3519028,Vaughan,230,230,0,0,0,0,0,0,0,215,180,35,0,35,10,10,0,25,32664.6357421875,931.152957147441
104,35190328,3519028,Vaughan,175,165,10,0,0,0,0,0,0,170,135,30,20,15,15,15,0,0,36184.2185058594,778.85216887125
105,35190326,3519028,Vaughan,415,380,35,25,10,10,10,0,0,410,275,130,65,65,50,40,10,15,107244.872802734,1367.30082709973
106,35190329,3519028,Vaughan,950,855,90,65,25,20,15,10,0,915,605,310,195,120,95,85,15,25,107523.337402344,2125.66996970231
107,35191055,3519028,Vaughan,540,495,45,30,15,15,15,0,0,520,350,160,75,85,55,50,0,40,73494.3757324219,1195.15787966053
108,35190305,3519028,Vaughan,585,490,95,70,25,25,25,0,0,570,400,170,120,50,40,40,0,10,287794.018798828,2966.51126913052
109,35190308,3519028,Vaughan,1350,1260,95,40,55,40,45,0,15,1320,965,355,200,155,105,100,0,50,2959975.43774414,12031.5133014356
110,35190374,3519036,Markham,2580,1685,900,415,485,255,245,10,230,2530,440,2095,645,1450,565,515,55,885,546992.093261719,4127.03949342727
111,35191234,3519038,Richmond Hill,540,485,55,50,10,10,10,0,0,515,355,160,110,55,25,20,0,30,838164.175048828,5967.16709624881
112,35190320,3519028,Vaughan,1665,1315,345,160,190,165,140,25,25,1580,790,790,375,410,270,210,60,140,416737.868408203,3295.44526477399
113,35190371,3519036,Markham,580,480,100,25,70,45,35,10,25,555,270,290,110,185,130,120,10,50,128748.343261719,1600.2255892843
114,35190380,3519036,Markham,550,500,55,10,45,35,25,10,10,540,370,165,45,125,75,65,10,45,163335.796142578,2166.34884288119
115,35191018,3519036,Markham,2225,1945,285,115,170,95,95,0,75,2125,1135,990,375,615,305,295,15,310,95612.3461914063,1365.72971782369
116,35190318,3519036,Markham,820,720,100,40,60,40,35,0,20,780,405,375,200,175,125,125,0,50,54659.3967285156,1039.86345464755
117,35190084,3519054,East Gwillimbury,500,470,35,10,20,25,20,0,0,490,375,120,35,85,85,85,0,0,6010151.12988281,11011.8538599555
118,35191290,3519028,Vaughan,8400,7405,990,670,320,270,245,25,50,7650,4220,3430,2050,1380,985,945,45,395,4205447.3190918,8240.25085756204
119,35190852,3519038,Richmond Hill,210,150,65,15,50,50,45,0,0,195,145,50,10,40,35,30,0,10,74474.9084472656,1402.04898598928
120,35190851,3519038,Richmond Hill,410,355,55,35,20,15,20,0,0,380,290,85,20,70,35,25,0,35,85974.921875,1339.13319684134
121,35190854,3519038,Richmond Hill,390,370,20,20,0,0,0,0,0,365,280,85,60,25,10,10,0,15,138291.630615234,1755.66377394099
122,35190855,3519038,Richmond Hill,405,380,25,10,15,10,10,0,10,395,275,120,70,55,15,15,0,35,78625.6520996094,1266.32626820795
123,35190463,3519038,Richmond Hill,995,855,140,95,45,20,20,0,25,955,445,515,185,330,200,170,30,135,294637.719970703,2326.50516444128
124,35191056,3519028,Vaughan,800,775,25,0,20,25,25,0,0,780,620,160,90,70,35,30,0,30,122231.479492188,1569.40671096606
125,35190645,3519036,Markham,285,260,25,0,25,10,10,0,15,270,240,35,10,25,20,20,0,0,31459.5446777344,824.900809397941
126,35190639,3519036,Markham,350,305,40,35,10,10,10,0,0,345,275,70,40,30,0,0,0,30,64631.5769042969,1345.79779603443
127,35190302,3519028,Vaughan,435,370,65,35,35,30,30,0,0,430,255,175,110,60,15,10,10,45,93340.7561035156,1736.03524994728
128,35190303,3519028,Vaughan,425,395,30,0,30,30,30,0,0,425,335,90,45,45,45,40,0,0,105849.837402344,1512.35194116675
129,35190304,3519028,Vaughan,615,585,35,35,0,0,0,0,0,600,540,65,50,10,10,0,0,10,294162.312011719,3310.82894232528
130,35190306,3519028,Vaughan,520,510,10,10,0,0,0,0,0,510,400,110,45,60,60,55,0,10,128419.040039063,1540.35198333307
131,35190379,3519036,Markham,545,490,55,10,45,25,25,0,15,545,370,170,55,115,65,60,0,50,430198.157470703,3315.34008685359
132,35190749,3519036,Markham,1125,1045,80,55,30,30,30,0,0,1075,755,325,140,180,125,125,0,55,2468600.65429688,8436.14937068297
133,35190309,3519028,Vaughan,355,330,25,20,0,0,0,0,0,350,210,140,95,45,45,45,0,0,184526.626464844,2458.5760192126
134,35190310,3519028,Vaughan,365,300,65,10,55,40,35,10,15,350,215,135,40,90,55,50,0,35,239728.384033203,2262.39006379197
135,35191064,3519038,Richmond Hill,600,530,65,50,15,10,10,0,10,580,360,220,140,85,25,20,0,55,397954.737304688,2942.30843496501
136,35191235,3519038,Richmond Hill,2165,1435,735,330,405,280,230,50,125,2110,740,1370,650,720,360,315,45,355,587429.931396484,3387.89250276311
137,35190366,3519028,Vaughan,2005,1550,450,195,255,190,175,15,65,1920,675,1245,585,655,445,390,55,215,316289.116455078,2697.42418451029
138,35190367,3519028,Vaughan,365,325,35,10,30,20,20,0,10,355,250,100,40,65,30,30,0,35,77719.8435058594,1420.20580207114
139,35190592,3519036,Markham,565,485,75,55,20,0,10,0,20,535,435,100,65,40,20,15,0,15,500248.733642578,3581.53232455957
140,35190641,3519036,Markham,1465,1355,105,55,55,25,25,0,35,1420,1075,345,185,160,60,45,15,100,321553.072753906,3964.79038143736
141,35190642,3519036,Markham,820,745,70,30,35,35,35,0,0,785,595,190,75,115,55,55,10,60,237677.697753906,4044.42807123396
142,35190644,3519036,Markham,535,475,55,55,0,0,0,0,0,500,335,170,110,55,0,0,0,60,65025.9423828125,1846.15388536069
143,35190553,3519038,Richmond Hill,570,520,55,20,35,0,0,10,30,555,380,175,70,100,10,0,0,95,309719.504150391,2515.95998037171
144,35191104,3519038,Richmond Hill,940,890,45,35,10,0,0,0,10,905,685,220,110,105,35,35,0,75,2273759.59301758,8574.1231409592
145,35191219,3519036,Markham,895,815,85,45,40,30,30,0,10,830,640,195,90,105,60,60,0,45,1611410.28271484,8033.38174390624
146,35190750,3519036,Markham,305,275,35,30,0,0,0,0,0,290,235,50,35,15,10,0,0,15,213894.365234375,2217.84557390189
147,35190631,3519036,Markham,825,710,120,85,30,20,20,0,10,830,495,335,255,75,65,60,0,10,342060.303955078,2632.83220513254
148,35190634,3519036,Markham,510,425,90,80,10,10,10,0,0,485,300,185,140,50,25,20,0,25,193371.738769531,2205.13075703318
149,35191289,3519028,Vaughan,10960,9985,975,570,400,310,300,15,90,10030,5360,4660,2520,2140,1570,1460,105,575,2862501.34057617,7045.83684587991
150,35190635,3519036,Markham,305,300,0,0,0,0,0,0,0,300,295,10,10,0,0,10,0,0,120098.024902344,1612.12409731052
151,35190747,3519036,Markham,2340,1570,765,400,365,235,195,40,130,2260,655,1605,590,1010,510,420,90,500,8244500.80908203,12242.9496897488
152,35190643,3519036,Markham,920,890,35,30,0,10,0,0,0,890,715,175,55,115,55,50,10,60,177642.958496094,2590.89860394955
153,35191102,3519038,Richmond Hill,1510,1130,380,200,180,115,100,15,65,1460,795,670,315,355,215,180,35,135,289846.563232422,3145.83480872606
154,35190453,3519038,Richmond Hill,850,815,30,35,0,0,0,0,0,825,620,210,90,120,90,85,0,30,115971.185546875,2610.13286774853
155,35190454,3519038,Richmond Hill,295,260,35,25,10,0,0,10,10,290,225,60,30,30,25,20,0,10,51042.2138671875,920.455623311963
156,35190748,3519036,Markham,580,565,25,20,0,0,0,0,0,570,450,120,85,25,15,15,10,10,749548.493896484,3505.44519165386
157,35191106,3519036,Markham,2635,2025,610,255,355,170,135,35,185,2565,1285,1275,510,770,305,245,60,460,700405.676025391,4441.61781496446
158,35191108,3519036,Markham,420,355,65,40,20,20,15,0,10,410,205,200,100,100,30,25,0,70,21440.2341308594,631.241612716366
159,35191107,3519036,Markham,455,395,60,30,35,15,15,0,20,445,280,165,55,110,45,40,10,60,27937.3454589844,695.774786788757
160,35190092,3519054,East Gwillimbury,395,370,25,0,20,20,15,0,10,385,320,60,10,55,55,45,0,0,5233851.15893555,11717.1637155994
161,35190565,3519036,Markham,875,805,65,30,30,25,25,0,10,845,615,230,130,95,70,75,0,25,288103.722412109,2552.60299558285
162,35190455,3519038,Richmond Hill,610,545,65,15,50,20,20,0,25,600,430,170,25,145,80,55,25,60,1028820.95996094,5658.9181827145
163,35190546,3519038,Richmond Hill,360,300,60,20,40,30,30,0,10,345,245,100,60,35,10,0,0,30,111602.554199219,1947.35008497915
164,35191091,3519048,Newmarket,325,300,20,0,15,20,20,0,0,295,155,140,75,65,55,55,0,10,35152.6352539063,911.744826923055
165,35190545,3519038,Richmond Hill,445,430,10,0,15,15,15,0,0,425,320,110,40,65,40,25,15,30,122975.012207031,1589.72966421226
166,35190542,3519038,Richmond Hill,335,315,20,0,15,20,15,0,0,320,265,55,25,25,10,10,0,20,150793.822509766,1542.97149606504
167,35190756,3519036,Markham,820,745,75,30,50,20,10,0,35,790,600,195,95,95,40,30,10,55,341603.314208984,2724.63999535516
168,35190590,3519036,Markham,890,790,95,50,45,15,0,0,35,845,630,220,120,95,35,35,10,60,409313.202148438,2617.97936389338
169,35190637,3519036,Markham,295,260,35,20,15,10,10,0,0,265,195,70,40,30,20,15,0,10,42382.9304199219,1021.20879401858
170,35191276,3519036,Markham,1580,1375,210,170,45,30,30,0,15,1515,885,635,380,250,180,180,0,75,551576.852539063,4828.85090909855
171,35191184,3519036,Markham,3480,3210,265,150,120,40,45,0,75,3290,1450,1840,1025,820,490,465,20,330,1056921.79418945,6705.02926908395
172,35190219,3519028,Vaughan,280,285,0,0,0,0,0,0,0,285,230,50,10,45,35,30,0,10,74209.7583007813,1303.4389664542
173,35191080,3519036,Markham,1370,1170,200,170,30,10,10,0,20,1310,850,460,250,210,80,75,0,130,246700.676025391,2885.39493421365
174,35191079,3519036,Markham,815,680,130,80,55,20,20,0,35,785,345,435,225,215,65,55,20,145,393096.032714844,2728.06492593118
175,35190646,3519036,Markham,1525,1320,200,130,75,50,45,0,25,1450,905,545,330,215,95,90,0,115,547020.776611328,4269.62146395447
176,35190547,3519038,Richmond Hill,535,480,60,50,10,0,0,0,0,530,425,105,50,55,25,0,25,25,230993.672607422,1938.39406933528
177,35191171,3519036,Markham,215,210,10,0,0,10,0,0,0,210,160,55,25,30,25,25,10,0,43673.9909667969,1039.48637841916
178,35190246,3519028,Vaughan,310,305,10,0,10,0,0,0,10,295,255,40,35,0,0,0,0,0,83159.0432128906,1561.2133392977
179,35190244,3519028,Vaughan,295,295,0,0,0,0,0,0,0,295,240,50,45,0,0,0,0,10,76213.2001953125,1442.69424183863
180,35191014,3519028,Vaughan,705,660,45,30,15,15,15,0,0,680,595,90,50,45,20,25,0,25,167204.512695313,2164.85328348517
181,35191097,3519028,Vaughan,1035,890,145,105,40,30,30,0,0,1030,800,230,110,115,85,55,25,30,320114.307128906,3368.31720659602
182,35191099,3519028,Vaughan,885,840,45,45,10,10,0,0,0,850,670,180,125,55,30,25,0,30,101229.970947266,1569.25062660023
183,35190252,3519028,Vaughan,845,775,70,25,45,25,25,0,20,820,605,215,105,110,70,65,0,45,128700.989257813,1718.5651971264
184,35191100,3519028,Vaughan,490,445,45,40,10,0,0,0,0,480,330,150,80,65,55,45,0,10,359581.84375,2702.75264756595
185,35190253,3519028,Vaughan,285,275,15,0,15,0,10,0,0,275,235,35,25,10,0,10,0,0,67310.6481933594,1050.42618596282
186,35191098,3519028,Vaughan,415,375,40,0,40,30,30,0,10,400,290,110,35,80,65,70,0,10,61404.1437988281,1106.41906825489
187,35190636,3519036,Markham,5780,4020,1755,1040,720,560,515,45,160,5515,1535,3985,2025,1960,1270,1180,90,685,6134216.90966797,12245.47185172
188,35190624,3519036,Markham,510,485,25,20,10,10,10,0,0,465,380,80,55,30,30,20,10,0,159927.570800781,1749.54236720154
189,35191176,3519036,Markham,2745,2375,370,215,155,95,70,20,65,2575,960,1610,980,630,400,345,55,230,690967.579345703,4043.70116594077
190,35191185,3519036,Markham,1590,1505,80,25,50,45,40,0,10,1495,1050,445,190,255,90,90,0,165,189131.531494141,2456.02822292325
191,35191169,3519036,Markham,1680,1545,135,60,75,60,25,30,25,1590,1020,575,190,390,330,265,65,55,656295.333984375,3530.30930825647
192,35190640,3519036,Markham,1745,1655,90,60,25,10,0,0,20,1675,1290,390,195,195,45,45,0,150,291222.790527344,3499.38961525486
193,35190543,3519038,Richmond Hill,300,280,20,20,0,0,0,0,0,285,180,100,65,35,20,20,0,15,187117.962158203,2461.24528138219
194,35190754,3519036,Markham,265,250,20,0,10,15,10,0,0,260,240,25,20,10,10,10,0,0,150056.136962891,1752.17128815826
195,35190099,3519054,East Gwillimbury,2635,2155,480,150,330,310,280,25,20,2450,970,1480,435,1045,905,845,60,135,8419927.14672852,13020.7331692704
196,35191111,3519036,Markham,420,400,20,15,0,10,0,0,0,420,380,45,10,35,25,25,0,10,154957.914794922,3013.75280670674
197,35191204,3519036,Markham,2320,2075,245,135,110,50,35,0,65,2205,1130,1070,580,495,285,285,0,210,3814991.3918457,9670.95576777308
198,35191200,3519036,Markham,5745,4490,1250,800,455,295,280,15,160,5285,745,4540,2670,1870,1335,1215,120,540,1045147.125,4957.63207615952
199,35191201,3519036,Markham,680,635,45,10,35,20,20,0,15,660,440,225,165,55,20,20,0,40,140193.394775391,2075.65981364497
200,35190218,3519028,Vaughan,870,800,70,40,35,15,10,0,25,845,705,140,70,65,25,30,0,40,215566.616210938,4129.40016358484
201,35190217,3519028,Vaughan,300,285,15,15,0,0,0,0,0,280,255,30,20,10,0,0,0,0,126618.863525391,1548.18257448614
202,35190647,3519036,Markham,230,185,40,35,10,0,0,0,0,210,165,50,40,10,0,0,0,10,25297.1494140625,758.710045012542
203,35190625,3519036,Markham,465,360,110,65,45,30,15,15,15,445,265,175,105,75,50,35,10,20,331134.618652344,2957.12393836426
204,35190731,3519036,Markham,380,340,40,0,30,35,25,10,0,375,215,160,110,45,45,45,0,0,150499.2109375,2102.9870561515
205,35190122,3519049,King,690,645,50,15,25,20,20,0,10,670,425,240,95,150,115,120,0,30,30694877.6054688,27307.3681103694
206,35190894,3519048,Newmarket,475,425,50,10,40,35,35,0,10,465,315,150,25,125,120,115,0,10,249641.025634766,2587.7459258251
207,35190212,3519028,Vaughan,905,770,135,95,45,40,40,0,0,875,545,330,265,65,65,65,0,0,417839.794921875,3143.22927365722
208,35190213,3519028,Vaughan,360,325,30,0,30,0,0,0,25,355,320,35,0,35,10,10,0,25,169116.507080078,2124.60703760469
209,35190075,3519054,East Gwillimbury,390,360,25,10,20,20,20,0,10,370,280,95,35,55,55,55,0,10,20959575.0476074,25795.6975699645
210,35190168,3519049,King,610,555,55,35,20,20,15,0,0,605,430,180,85,95,75,75,10,15,20286831.8415527,20406.8856989655
211,35190167,3519049,King,630,550,80,35,45,40,35,0,10,600,415,185,75,115,100,95,0,15,12382257.1445313,14312.8209874865
212,35191273,3519036,Markham,1220,1135,80,15,70,50,50,0,20,1165,855,310,145,165,120,120,0,40,161168.837646484,1677.39426169978
213,35191053,3519028,Vaughan,1045,1010,35,15,15,15,10,0,0,1040,845,200,155,40,35,35,0,0,1652384.93408203,7612.09646510701
214,35191095,3519070,Georgina,1175,1095,80,10,75,70,70,0,0,1130,745,385,145,245,230,225,10,10,18461042.2470703,18368.2060982011
215,35190009,3519070,Georgina,635,600,40,10,20,25,25,0,0,595,445,150,55,90,90,85,0,0,5558410.77075195,10734.8757067039
216,35190078,3519054,East Gwillimbury,395,360,30,0,25,25,25,0,0,375,290,85,15,70,70,70,0,0,16712526.6594238,20612.6929162029
217,35190706,3519036,Markham,575,565,20,10,10,10,0,0,0,550,445,100,85,20,0,10,0,10,217992.516845703,2265.13076258341
218,35190209,3519028,Vaughan,295,250,50,35,10,10,10,0,0,275,165,110,85,20,20,25,0,0,121678.950439453,1839.81034411963
219,35190208,3519028,Vaughan,760,660,100,75,25,25,25,0,0,755,365,395,260,140,90,90,0,40,266293.729248047,2359.38611332763
220,35190207,3519028,Vaughan,1410,1215,205,130,75,70,55,10,0,1375,710,665,370,295,260,235,25,35,323883.248046875,2871.78377970943
221,35191148,3519070,Georgina,510,495,20,0,20,20,20,0,0,480,435,45,0,45,45,45,0,0,15394148.795166,16565.0307175735
222,35191149,3519070,Georgina,580,540,40,15,30,25,25,0,10,575,430,150,95,55,50,55,0,0,23063180.7790527,20566.4272516724
223,35191154,3519049,King,645,580,65,15,55,55,50,0,0,635,490,140,30,110,105,105,10,0,8025513.66748047,13203.5821159492
224,35191156,3519049,King,390,370,15,0,15,15,15,0,0,375,310,60,10,55,55,55,0,0,2318934.49047852,8227.5304574503
225,35191147,3519070,Georgina,425,420,10,0,10,10,10,0,0,405,300,105,25,75,60,60,0,20,41346801.4631348,25896.929865612
226,35191155,3519049,King,600,550,50,0,50,45,45,0,0,580,415,165,40,125,125,125,0,0,8632383.19580078,14331.9957733384
227,35191153,3519049,King,735,690,50,20,30,15,0,10,10,730,590,135,45,95,80,80,0,15,14562709.5683594,34375.9465134789
228,35191165,3519049,King,600,560,40,10,35,25,25,0,10,595,390,200,100,105,100,100,0,0,444259.804931641,3326.11144146961
229,35190216,3519028,Vaughan,445,440,10,0,0,0,0,0,0,445,420,25,15,10,0,0,0,10,158707.467041016,2475.36573576948
230,35190215,3519028,Vaughan,335,305,25,10,20,20,20,0,0,325,305,20,10,15,15,15,0,0,82114.5671386719,1394.42753175817
231,35190041,3519070,Georgina,745,635,110,35,75,80,70,0,0,710,420,295,165,125,105,100,10,20,5637479.41259766,10671.5336155907
232,35190170,3519049,King,410,350,60,0,55,40,35,0,15,400,280,115,30,90,65,70,0,20,8269174.90234375,24944.7876558038
233,35190229,3519028,Vaughan,490,485,10,0,0,0,0,0,0,475,420,55,40,15,10,0,0,10,178701.911376953,2007.20428597505
234,35191308,3519046,Aurora,10420,8205,2215,440,1775,1610,1570,35,165,9690,5175,4520,1150,3375,2780,2700,85,590,7549471.85864258,11123.4650778799
235,35191341,3519046,Aurora,1190,1040,155,0,150,145,135,10,0,1155,825,330,85,245,200,185,20,45,556212.443359375,3524.57229662384
236,35191343,3519046,Aurora,655,615,45,15,30,35,30,10,0,630,470,165,60,105,85,80,0,20,561831.673095703,6612.61928164171
237,35190726,3519036,Markham,605,605,0,0,0,0,0,0,0,605,505,100,70,25,30,25,0,0,178523.523681641,2100.54386722247
238,35191164,3519049,King,840,730,110,15,95,95,85,10,0,815,500,315,60,255,260,260,0,0,1190355.95507813,4760.00149639649
239,35191163,3519049,King,1190,1025,170,90,75,75,75,0,0,1090,715,375,120,260,255,255,0,10,6388238.77392578,13089.7802998188
240,35190188,3519028,Vaughan,645,615,30,0,30,15,15,0,15,630,465,165,115,50,30,30,0,15,843577.451660156,7513.93247965933
241,35190256,3519028,Vaughan,610,560,55,40,10,0,0,0,15,590,470,120,70,50,30,25,10,20,131332.912109375,2232.9831719196
242,35190255,3519028,Vaughan,375,370,10,0,0,0,0,0,0,370,350,15,0,15,15,15,0,0,81035.5688476563,1202.01236882067
243,35190243,3519028,Vaughan,665,610,55,35,20,0,0,0,20,645,525,110,65,45,20,20,0,30,1625868.17358398,6916.87179966776
244,35190254,3519028,Vaughan,500,480,20,20,0,0,0,0,0,485,405,80,55,25,10,0,0,20,5639383.33300781,10682.6946920129
245,35190710,3519036,Markham,580,530,50,35,15,0,10,0,10,550,370,180,95,85,55,55,0,30,133143.364257813,2292.14332350776
246,35191198,3519036,Markham,1725,1615,110,80,30,20,20,0,10,1685,1095,585,335,255,155,150,10,95,354487.075439453,2783.27299535055
247,35191202,3519036,Markham,645,575,65,55,15,10,15,0,0,635,460,175,55,120,55,55,0,65,64437.4079589844,1122.86360708643
248,35191203,3519036,Markham,565,510,55,40,15,0,0,0,10,555,370,185,30,160,30,30,0,125,60972.3117675781,1195.53630031221
249,35190708,3519036,Markham,295,245,55,35,15,15,15,0,0,295,240,60,25,35,25,25,0,10,110633.077880859,1770.19313402675
250,35190210,3519028,Vaughan,835,805,40,15,20,20,20,0,0,805,680,125,95,35,35,25,0,0,599536.303222656,5750.68051152294
251,35190211,3519028,Vaughan,1010,965,40,15,25,30,30,0,0,970,690,280,160,120,95,85,10,30,384992.916259766,3444.04755485916
252,35190258,3519028,Vaughan,330,310,20,10,10,10,10,0,0,315,215,95,60,35,35,35,0,0,75339.8530273438,1489.82087661268
253,35190214,3519028,Vaughan,600,570,35,15,25,20,20,0,0,585,530,55,15,40,40,40,0,0,479611.614501953,3349.03880045375
254,35191187,3519036,Markham,665,620,45,25,25,0,0,0,25,630,455,180,90,85,50,55,0,35,163939.619384766,1751.65898363426
255,35191188,3519036,Markham,690,660,30,15,15,10,0,15,0,680,540,140,35,105,65,55,15,40,102230.225341797,1316.6979187388
256,35190728,3519036,Markham,590,525,60,50,15,10,10,0,0,565,445,125,65,60,30,35,0,25,419040.075439453,3530.99224505083
257,35191186,3519036,Markham,595,540,55,25,20,0,0,0,20,580,435,150,50,100,55,50,0,50,89777.0498046875,1900.73380735099
258,35190707,3519036,Markham,460,415,45,20,25,25,20,0,0,445,360,85,35,50,30,30,0,20,132603.044677734,2115.69590853538
259,35190705,3519036,Markham,435,390,40,15,25,25,20,0,10,435,275,165,85,75,40,40,0,35,98747.0874023438,1487.8006911252
260,35190942,3519048,Newmarket,560,505,55,40,15,10,15,0,0,545,440,105,60,50,40,45,0,10,152721.544921875,1973.38631605351
261,35191174,3519036,Markham,1725,1565,160,95,70,35,35,0,35,1640,1060,575,325,255,200,165,35,50,307612.934570313,2294.1609795486
262,35190709,3519036,Markham,285,285,10,0,0,0,10,0,0,275,200,70,25,50,45,40,0,0,121260.927978516,1870.65140646735
263,35191175,3519036,Markham,1340,1035,295,170,130,95,95,0,35,1240,220,1020,655,365,260,260,0,105,7080965.13574219,11317.1998592794
264,35190716,3519036,Markham,750,690,60,60,0,10,10,0,0,740,620,115,95,25,15,10,0,10,289352.226318359,3761.63386910047
265,35191077,3519036,Markham,1400,1285,115,75,35,10,10,0,25,1355,1065,285,185,105,40,35,10,60,1198249.32861328,8212.95829659495
266,35190727,3519036,Markham,540,515,20,20,0,10,10,0,0,530,410,120,80,35,35,35,0,0,382552.938964844,3531.57172698707
267,35190626,3519036,Markham,790,685,110,60,45,25,25,0,25,760,500,260,155,110,55,55,0,50,276687.707763672,3046.70353815296
268,35191189,3519036,Markham,645,545,100,35,70,55,50,0,15,610,355,250,95,145,75,75,0,75,150943.399658203,2152.0920696733
269,35190718,3519036,Markham,575,560,20,0,20,15,20,0,0,565,400,165,80,90,85,80,0,0,161710.891113281,2790.51817653804
270,35190713,3519036,Markham,575,560,15,10,0,0,0,0,10,565,495,70,45,20,20,10,10,0,260639.845214844,2980.05067462135
271,35190724,3519036,Markham,620,595,25,0,15,10,10,0,0,585,525,55,40,15,15,10,0,10,213311.857666016,2513.06077096905
272,35190723,3519036,Markham,310,295,15,0,10,0,0,10,0,300,230,70,45,30,25,20,0,0,155790.649902344,1979.61142486854
273,35190541,3519038,Richmond Hill,165,160,0,0,0,0,10,0,0,165,145,20,10,10,10,0,10,0,90775.181640625,1257.63773821439
274,35190540,3519038,Richmond Hill,1000,940,60,25,40,40,35,10,0,990,740,245,55,190,120,115,0,70,511545.245849609,3751.69328016407
275,35190164,3519046,Aurora,570,510,60,20,40,35,35,0,0,560,405,155,50,110,110,110,0,10,212648.513183594,2172.37185249192
276,35190714,3519036,Markham,470,435,30,20,15,15,10,0,0,445,355,90,95,0,0,0,0,0,131761.786376953,2893.96326645346
277,35190722,3519036,Markham,665,645,20,0,20,15,20,0,0,645,495,145,100,50,40,40,0,10,171343.148925781,3302.41116854799
278,35190628,3519036,Markham,655,605,50,35,20,0,0,0,20,615,480,130,45,85,30,25,0,55,3050789,8709.48525865988
279,35191083,3519036,Markham,1030,990,40,30,10,10,0,0,0,1000,805,195,150,45,25,20,10,25,784203.861572266,5166.39932033329
280,35191131,3519028,Vaughan,720,665,60,20,40,10,15,0,30,705,500,200,105,100,30,35,0,65,170264.535400391,2122.5321104607
281,35190702,3519036,Markham,1985,1770,215,130,85,65,40,25,20,1875,1330,545,325,215,150,130,20,65,1143372.33569336,7107.86466982539
282,35190257,3519028,Vaughan,1770,1590,180,120,60,50,50,0,15,1735,1370,365,235,130,85,85,0,40,2130239.47094727,10776.6776298727
283,35190627,3519036,Markham,770,710,55,40,15,10,10,0,10,755,415,340,205,135,115,105,10,25,192791.767089844,1856.72042452601
284,35190563,3519036,Markham,590,540,50,20,30,20,20,0,10,575,450,120,70,55,35,35,0,20,153454.100585938,2170.13753061628
285,35190562,3519036,Markham,355,295,65,40,25,20,25,0,0,320,220,100,75,20,20,15,0,0,56901.4187011719,951.86877420397
286,35190561,3519036,Markham,625,530,95,60,35,20,20,0,15,595,335,255,145,105,65,65,0,45,253356.017822266,2437.68897221859
287,35191190,3519036,Markham,980,925,55,30,20,0,0,0,10,940,730,210,115,95,25,25,0,70,414628.125244141,4283.72708712955
288,35191220,3519036,Markham,615,600,15,10,10,0,0,0,0,580,375,205,115,95,55,50,0,35,76295.294921875,1869.20572685863
289,35191214,3519036,Markham,505,475,30,15,15,10,10,0,10,480,395,85,25,60,55,35,15,0,102153.826660156,1576.23421364802
290,35190132,3519046,Aurora,410,340,70,45,30,25,30,0,0,390,200,195,75,120,120,105,15,0,364223.165771484,2666.11303670202
291,35190130,3519046,Aurora,400,375,25,0,25,25,10,20,0,385,250,135,30,105,90,80,10,15,59439.9187011719,989.273474445895
292,35190129,3519046,Aurora,630,585,50,0,40,40,40,0,0,620,450,170,20,155,140,140,0,15,352565.514648438,2747.16961642076
293,35190581,3519036,Markham,385,335,45,15,30,10,10,0,25,380,255,125,95,30,0,0,0,30,1029987.81591797,5346.08181869488
294,35190163,3519046,Aurora,450,400,55,20,35,15,15,0,20,445,300,145,45,100,80,75,0,25,337471.774902344,3157.85511632468
295,35191110,3519036,Markham,760,730,30,25,10,0,0,0,0,740,665,75,45,30,15,10,10,15,216539.779785156,2215.97908965451
